OpenMP is enabled.
Number of threads = 8
app_name: lane_emden
G = 0.00043
Using algorithm: GSPH
Particle id: 1900 | n_neighbor: 27 | dens_i: 46.7158 | updated sml: 0.338292 | v_sig_max: 0.700367
Particle id: 3350 | n_neighbor: 24 | dens_i: 21.9598 | updated sml: 0.43508 | v_sig_max: 0.561058
Particle id: 2450 | n_neighbor: 26 | dens_i: 27.5594 | updated sml: 0.403357 | v_sig_max: 0.582859
Particle id: 1250 | n_neighbor: 26 | dens_i: 39.0456 | updated sml: 0.359133 | v_sig_max: 0.661131
Particle id: 250 | n_neighbor: 27 | dens_i: 2.83011 | updated sml: 0.861347 | v_sig_max: 0.341822
Particle id: 2850 | n_neighbor: 27 | dens_i: 36.2792 | updated sml: 0.368038 | v_sig_max: 0.637642
Particle id: 3950 | n_neighbor: 26 | dens_i: 16.4574 | updated sml: 0.478989 | v_sig_max: 0.518582
Particle id: 1300 | n_neighbor: 24 | dens_i: 23.691 | updated sml: 0.424214 | v_sig_max: 0.560821
Particle id: 300 | n_neighbor: 26 | dens_i: 26.2937 | updated sml: 0.409728 | v_sig_max: 0.583143
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.691 | updated sml: 0.424214 | v_sig_max: 0.560821
Particle id: 1950 | n_neighbor: 26 | dens_i: 35.1482 | updated sml: 0.371944 | v_sig_max: 0.620932
Particle id: 1350 | n_neighbor: 27 | dens_i: 49.6504 | updated sml: 0.331491 | v_sig_max: 0.694723
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.1824 | updated sml: 0.415668 | v_sig_max: 0.581857
Particle id: 2900 | n_neighbor: 25 | dens_i: 42.5467 | updated sml: 0.348999 | v_sig_max: 0.657885
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7647 | updated sml: 0.450626 | v_sig_max: 0.533105
Particle id: 2000 | n_neighbor: 27 | dens_i: 46.7158 | updated sml: 0.338292 | v_sig_max: 0.700367
Particle id: 1400 | n_neighbor: 27 | dens_i: 35.6805 | updated sml: 0.370086 | v_sig_max: 0.63716
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.5917 | updated sml: 0.34358 | v_sig_max: 0.674434
Particle id: 2950 | n_neighbor: 26 | dens_i: 43.4502 | updated sml: 0.346563 | v_sig_max: 0.674735
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.40587 | updated sml: 0.656024 | v_sig_max: 0.420577
Particle id: 3500 | n_neighbor: 27 | dens_i: 37.8359 | updated sml: 0.36292 | v_sig_max: 0.648017
Particle id: 2500 | n_neighbor: 26 | dens_i: 27.7809 | updated sml: 0.402282 | v_sig_max: 0.58511
Particle id: 2050 | n_neighbor: 21 | dens_i: 11.4113 | updated sml: 0.54117 | v_sig_max: 0.450259
Particle id: 1450 | n_neighbor: 25 | dens_i: 19.3378 | updated sml: 0.453917 | v_sig_max: 0.537022
Particle id: 350 | n_neighbor: 19 | dens_i: 3.61025 | updated sml: 0.794207 | v_sig_max: 0.312952
Particle id: 4150 | n_neighbor: 20 | dens_i: 17.8915 | updated sml: 0.465833 | v_sig_max: 0.497549
Particle id: 2100 | n_neighbor: 20 | dens_i: 22.6077 | updated sml: 0.430884 | v_sig_max: 0.527605
Particle id: 1500 | n_neighbor: 19 | dens_i: 19.4442 | updated sml: 0.453088 | v_sig_max: 0.508281
Particle id: 3000 | n_neighbor: 24 | dens_i: 27.3869 | updated sml: 0.404202 | v_sig_max: 0.591346
Particle id: 400 | n_neighbor: 27 | dens_i: 27.3516 | updated sml: 0.404375 | v_sig_max: 0.589376
Particle id: 4200 | n_neighbor: 20 | dens_i: 8.28638 | updated sml: 0.602085 | v_sig_max: 0.371089
Particle id: 850 | n_neighbor: 29 | dens_i: 27.2601 | updated sml: 0.404828 | v_sig_max: 0.599714
Particle id: 1550 | n_neighbor: 26 | dens_i: 33.6705 | updated sml: 0.377308 | v_sig_max: 0.629566
Particle id: 3550 | n_neighbor: 31 | dens_i: 11.2667 | updated sml: 0.543477 | v_sig_max: 0.46488
Particle id: 450 | n_neighbor: 29 | dens_i: 13.9498 | updated sml: 0.506123 | v_sig_max: 0.493278
Particle id: 3050 | n_neighbor: 26 | dens_i: 21.4034 | updated sml: 0.438819 | v_sig_max: 0.543253
Particle id: 500 | n_neighbor: 30 | dens_i: 6.40587 | updated sml: 0.656024 | v_sig_max: 0.420577
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4352 | updated sml: 0.479205 | v_sig_max: 0.503719
Particle id: 3600 | n_neighbor: 31 | dens_i: 17.6134 | updated sml: 0.468272 | v_sig_max: 0.525308
Particle id: 3100 | n_neighbor: 27 | dens_i: 15.6023 | updated sml: 0.487584 | v_sig_max: 0.506117
